game,date,age,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,minus_plus
1,1984-10-26,21-252,CHI,WSB,W (+16),40:00,5,16,.313,0,0,,6,7,.857,1,5,6,7,2,4,5,16,12.5
2,1984-10-27,21-253,CHI,MIL,L (-2),34:00,8,13,.615,0,0,,5,5,1.000,3,2,5,5,2,1,3,21,19.4
3,1984-10-29,21-255,CHI,MIL,W (+6),34:00,13,24,.542,0,0,,11,13,.846,2,2,4,5,6,2,3,37,32.9
4,1984-10-30,21-256,CHI,KCK,W (+5),36:00,8,21,.381,0,0,,9,9,1.000,2,2,4,5,3,1,6,25,14.7
5,1984-11-01,21-258,CHI,DEN,L (-16),33:00,7,15,.467,0,0,,3,4,.750,3,2,5,5,1,1,2,17,13.2
6,1984-11-07,21-264,CHI,DET,W (+4),27:00,9,19,.474,0,0,,7,9,.778,1,3,4,3,3,1,5,25,14.9
7,1984-11-08,21-265,CHI,NYK,W (+15),33:00,15,22,.682,0,0,,3,4,.750,4,4,8,5,3,2,5,33,29.3
8,1984-11-10,21-267,CHI,IND,W (+2),42:00,9,22,.409,0,0,,9,12,.750,2,7,9,4,2,5,3,27,21.2
9,1984-11-13,21-270,CHI,SAS,W (+3),43:00,18,27,.667,1,1,1.000,8,11,.727,2,8,10,4,3,2,4,45,37.5
10,1984-11-15,21-272,CHI,BOS,L (-20),33:00,12,24,.500,0,1,.000,3,3,1.000,0,2,2,2,2,1,1,27,17.1
11,1984-11-17,21-274,CHI,PHI,L (-9),44:00,4,17,.235,0,0,,8,8,1.000,0,5,5,7,5,2,4,16,12.5
12,1984-11-19,21-276,CHI,IND,L (-17),39:00,11,26,.423,0,3,.000,12,16,.750,2,3,5,2,2,1,3,34,20.8
13,1984-11-21,21-278,CHI,MIL,L (-10),42:00,11,22,.500,0,0,,13,14,.929,4,9,13,2,2,2,6,35,26.7
14,1984-11-23,21-280,CHI,SEA,W (+19),30:00,9,13,.692,0,0,,5,6,.833,0,4,4,3,4,1,4,23,19.5
15,1984-11-24,21-281,CHI,POR,L (-10),41:00,10,24,.417,0,1,.000,10,10,1.000,3,3,6,8,3,1,4,30,23.9
16,1984-11-27,21-284,CHI,GSW,L (-6),24:00,6,10,.600,0,0,,1,1,1.000,0,2,2,3,3,2,4,13,11.1
17,1984-11-29,21-286,CHI,PHO,L (-5),30:00,9,17,.529,1,1,1.000,3,4,.750,1,2,3,2,2,0,2,22,14.0
18,1984-11-30,21-287,CHI,LAC,W (+4),37:00,9,15,.600,0,0,,2,4,.500,2,3,5,5,3,0,4,20,15.5
19,1984-12-02,21-289,CHI,LAL,W (+1),42:00,7,13,.538,0,0,,6,8,.750,2,0,2,3,1,1,4,20,12.9
20,1984-12-04,21-291,CHI,NJN,W (+15),35:00,7,13,.538,0,0,,6,6,1.000,1,2,3,6,1,0,3,20,16.0
21,1984-12-07,21-294,CHI,NYK,W (+2),43:00,8,16,.500,0,1,.000,5,7,.714,1,1,2,3,2,0,6,21,9.3
22,1984-12-08,21-295,CHI,DAL,W (+2),35:00,10,23,.435,0,0,,0,0,,4,3,7,2,0,2,2,20,11.2
23,1984-12-11,21-298,CHI,DET,L (-7),37:00,13,28,.464,0,1,.000,1,3,.333,1,7,8,6,2,0,3,27,16.2
24,1984-12-12,21-299,CHI,DET,L (-7),30:00,6,17,.353,0,2,.000,9,10,.900,0,1,1,2,2,1,1,21,12.5
25,1984-12-14,21-301,CHI,NJN,L (-2),44:00,12,25,.480,0,0,,10,10,1.000,2,6,8,8,1,0,0,34,29.5
26,1984-12-15,21-302,CHI,PHI,L (-12),27:00,7,16,.438,0,0,,0,0,,1,1,2,2,1,0,1,14,7.2
27,1984-12-18,21-305,CHI,HOU,L (-8),45:00,8,20,.400,0,1,.000,2,4,.500,1,2,3,8,3,0,1,18,14.5
28,1984-12-20,21-307,CHI,ATL,W (+3),41:00,12,22,.545,0,0,,10,16,.625,4,4,8,7,5,1,7,34,26.6
29,1984-12-22,21-309,CHI,BOS,W (+25),35:00,12,18,.667,0,0,,8,8,1.000,1,11,12,8,0,3,3,32,31.7
30,1984-12-27,21-314,CHI,CLE,W (+4),44:00,20,33,.606,0,1,.000,5,5,1.000,2,5,7,11,3,0,3,45,40.1
31,1984-12-29,21-316,CHI,ATL,L (-3),39:00,7,18,.389,0,0,,7,9,.778,1,3,4,5,0,0,3,21,10.1
32,1985-01-02,21-320,CHI,ATL,L (-14),34:00,10,14,.714,0,0,,5,6,.833,1,6,7,4,3,0,4,25,22.3
33,1985-01-04,21-322,CHI,MIL,W (+5),38:00,9,16,.563,0,1,.000,4,5,.800,0,2,2,6,3,0,0,22,20.2
34,1985-01-05,21-323,CHI,NYK,L (-6),42:00,16,25,.640,0,0,,10,11,.909,4,3,7,4,2,1,3,42,35.5
35,1985-01-09,21-327,CHI,BOS,L (-3),42:00,12,24,.500,0,0,,12,13,.923,4,2,6,6,2,1,4,36,28.3
36,1985-01-11,21-329,CHI,NYK,W (+16),30:00,8,14,.571,0,0,,7,7,1.000,2,4,6,5,2,0,5,23,18.3
